"","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",15.18,13.19,13.8,16.36,13.47,10.8,9.98,11.93,16.36,9.33,10.19,11.32,8.96,7.01,6.68,8.23,11.05,9.08,6.25,5.44,4.98,6.45,10.31,8.47,6.62,8.39,9.97,7.01,5.5,5.47,4.81,3.73,2.89,3,2.81,2.93,2.4,0.98,0.53,0.3,0.75,0.45,0.3,0.71,0.07,0.07,0.11,0.43,1.26,1.69,3.66,17.33,28.33,41.92,54.59,61.99,88.97,94.02,90.43,93.72,89.82,86.64,84.24,66.92,51.74,43.83,15.57,18.15,13.1,8.82,12.92,16.05,14.2,24.04,29.22,31.27,32.08,22.79,29.53,17.41,13.34,11.08,6.02,7.97,9.64,6.94,3.37,2.67,3.18,3.09,3.43,3.54,2.28,1.56,1.84,3.39,2.89,2.26,2.62,3.25,3.39,2.56,3.11,4.68,7.74,17,23.91,14.54,21.76,34.12,35.95,39.1,46.22,60.9,57.47,57.79,59.25,40.83,41.56,52.22,44.16,37.78,33.53,32.65,30.1,28.21,17.26,14.09,15.1,12.5,23.66,26.86,30.7,44.31,54.78,64.92,72.41,65.52,73.79,86.86,91.91,94.5,92.48,96.76,95.77,94.52,95.89,92.58,85.49,86.49,91.99,86.23,71.6,73.38,63.44,31.18,45.64,36.55,32.39,38.67,41.46,49.54,46.33,39.34,57.75,52.43,57.82,64.73,51.29,61.48,55.98,41.98,48.15,33.31,33.6,48.34,25.57,32.3,24.1,28.57,26.64,10.75,9.94,9.77,6.65,11.24,4.02,3.27,4.37,5.28,14.8,5.41,4.63,3.36,2.33,1.52,3.69,3.05,3.24,2.95,2.81,2.74,2.26,1.98,2.43,1.76,1.69,1.98,2.39,3.44,4.22,4.34,4.8,4.82,4.73,5.13,5.44,5.2,2.67
"Bernal Heights",12.14,7.85,5.01,8.78,7.65,5.98,12.33,10.4,9.85,6.23,5.37,7.88,6.69,5.16,5.8,3.18,1.47,1.51,2.06,3.39,2.81,4.46,5.23,3.6,2.88,3.41,4.32,3.19,4.47,4.31,3.46,3.5,2.01,2.11,1.45,0.75,0.42,0.33,0.21,0.25,0.21,0.27,0.15,0.13,0.06,0,0.44,0.31,3.16,2.55,8.97,22.07,29.69,43.68,58.11,51.37,84.56,88.68,79.72,79.2,72.35,71.34,45.05,17.99,11.72,5.53,4.04,5.81,4.58,2.61,5.09,8.71,7.81,15.96,23.15,28.87,33.18,26.48,29.98,18.95,13.65,11.33,7.06,6.36,6.71,4.92,2.7,2.22,2.06,1.75,1.68,1.58,1.52,0.85,0.69,0.82,0.53,0.5,0.61,1.18,1.54,1.22,1.96,2.86,4.46,13.75,25.59,16.78,28.34,42.25,46.54,54.28,63.81,79.04,79.99,81.01,81.27,59.71,54.8,60.88,52.81,43.92,35.96,30.68,27.87,21.78,10.69,8.66,8.5,9.38,20.85,25.2,28.74,44.1,56.46,64.24,71.89,63.64,75.99,89.72,93.93,96.13,92.71,98.43,97.14,95.96,97.33,95.42,90.07,90.79,91.43,82.67,60.45,62.95,51.16,18.21,30.5,23.59,17.32,22.61,27.26,36.18,34.01,33.28,57.14,50.74,55.91,63.32,54.78,67.3,66.38,55.99,62.41,48.52,49.84,57.88,38.62,47.26,43.17,47.28,44.32,28.75,24.44,21.76,13.32,13,5.47,3.36,3.29,3.79,6.45,5.08,4.87,4.34,3.77,3.43,0.9,0.74,0.81,0.65,0.6,0.96,1.55,1.74,2.69,2.39,1.12,2.01,3.76,5.53,7.59,8.68,9.6,10.65,11.81,13.17,11.36,8.88,4.76
"Excelsior",28.65,12.41,15.26,21.28,16.81,7.56,5.37,3.6,4.53,1.12,0.99,0.94,0.69,0.48,0.72,0.5,0.62,0.85,0.76,1.05,0.98,2.02,6,4.27,2.31,3.7,4.33,1.99,1.57,1.48,0.42,0.28,0.27,0.32,0.2,0.1,0.03,0.04,0.06,0.06,0.13,0.18,0.23,0.19,0.05,0.01,0.01,0.04,0.48,0.4,2.56,11.87,14.06,14.11,20.72,10.78,35.06,47.83,26,22.75,12.25,10.17,1.59,0.68,0.69,1.7,0.79,1.7,0.96,0.59,0.83,1.63,1.68,4.05,6.66,7.42,8.51,4.99,5.4,1.92,0.91,1.02,0.87,1.04,1.54,0.96,0.54,0.61,0.43,0.52,0.5,0.54,0.48,0.26,0.17,0.41,0.28,0.28,0.61,1,1.28,1.06,1.22,1.87,3.02,9.03,17.01,7.56,13.57,24.79,22.04,18.42,24.38,45.02,50.59,59.41,57.69,31.14,34.16,48.35,36.85,28.14,26.26,31.77,40.72,40.78,28.61,23.99,31.16,29.22,55.15,66.29,79.12,90.62,96.1,98.32,99.03,98.17,98.73,99.27,99.48,99.76,99.78,99.87,99.85,99.78,99.68,98.99,97.85,97.24,97.8,96.14,86.12,86.79,74.25,33.88,55.8,39.66,31.96,40.03,44.59,55.58,46.76,39.26,69.89,65.8,76.92,84.45,74.97,86.8,87.01,76.59,84.67,74.37,77.98,93.01,73.6,79.94,65.79,75.67,72.17,45.82,39.8,32.69,19.58,20.4,8.06,3.05,2.8,2.41,3.84,2.45,2.22,2.28,2.02,1.63,0.63,0.6,0.39,0.26,0.32,0.41,0.43,0.63,0.73,0.39,0.32,1.25,2.07,3.41,7.9,10.87,16.14,16.42,15.37,13.68,7.99,4.12,1.12
"Central Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,2.63,2.36,1.24,2.71,5.43,5.08,12.17,18.61,25.62,27.04,23.77,30.47,23.38,18.8,16.99,10.02,7.4,7.06,5.56,3.15,2.65,1.88,0.19,0.27,0.5,0.46,0.5,0.65,1.26,0.76,0.92,1.26,2.37,3.36,4.09,6.72,7.67,14.01,31.62,45.55,30.98,43.85,56,58.39,62.15,65.03,74.64,72.1,73.42,71.64,46.43,42.14,47.4,39.14,32.88,28.09,26.66,27.64,22.44,16.44,15.08,17.31,19.16,25.72,28.01,29.48,45.02,55.09,64.85,73.86,65.04,70.6,74.54,76.04,77.02,78.18,89.43,85.79,86.05,88.69,85.94,81.25,84.52,88.21,83.11,70.2,74.26,60.75,37,54.79,51.26,51.3,53.86,56.91,63.86,59.58,50.22,73.92,65.79,73.07,79.48,71.5,81.74,78.96,68.5,76.88,64.53,59.07,72.28,46.64,53.77,40.63,47.7,43.92,25.39,24.03,19.95,10.05,9.08,4.12,1.56,1.78,2.26,4.51,3.56,2.71,3.37,2.89,2.04,5.58,3.82,2.24,1.54,1.8,2.28,2.24,2.06,3.13,1.88,1.14,1.4,2.02,2.5,4.12,3.53,3.53,2.68,3.09,4.45,5.3,6.55,5.15
"Bayview",33.81,23.15,34.08,30.17,32.26,22.25,21.62,21.13,24.1,11.8,11.49,11.77,5.84,2.78,2.56,2.44,1.59,1.52,1.56,2.38,0.86,1.57,3.7,2.71,2.57,5.3,6.48,4.3,3.63,2.5,2.11,3.28,3.07,1.55,1.38,0.62,0.29,0.45,0.1,0.42,1.51,2.27,3.92,5.2,4.71,2.65,3.1,3.62,4.12,4.01,6.35,11.4,12.13,12.84,18.11,9.83,30.66,41.34,28.87,29.04,20.18,14.74,6.53,3.77,4.48,4.07,0.28,0.44,0.28,0.19,0.83,2.81,2.29,8.6,13.83,18.15,17.77,11.76,11.16,6.94,6.03,4.85,4.49,4.91,4.96,4.61,2.71,2.95,3.77,4.77,5.12,5.2,5.15,3.41,1.36,1.73,0.78,0.41,0.95,1.57,1.16,0.95,0.81,0.92,1.49,5.64,11.77,5.63,10.24,16.71,13.93,14.71,19.16,32.61,40.99,43.9,45.3,30.26,30.13,38.45,36.34,36.72,35.04,37.2,42.5,41.11,29.76,31.47,41.67,47.96,69.14,72.32,77.56,84.34,91.48,96.34,96.94,96.31,98.58,99.29,99.26,99.53,99.05,100,99.92,99.66,99.87,99.34,97.56,94.86,94.25,88.27,82.81,85.22,79.29,59.18,73.62,68.93,60.86,68.22,69.64,76.45,73.72,65.94,74.69,67.83,75.14,80.45,75.57,86.1,85.99,70.79,73.27,65.04,65.77,83.64,72.35,78.1,72.75,75.36,73.43,53.33,51.45,55.19,45.47,49.28,36.46,20.36,15.11,10.8,9.61,8.37,5.65,3.51,2.64,1.73,2.14,1.93,1.59,1.11,1.2,0.46,0.55,0.65,0.79,0.84,1.04,1.59,1.93,2.87,3.18,3.98,5.83,8.48,8.82,8.58,6.89,5.69,3.74
"Downtown",35.45,26.59,23.97,34.24,20.71,20.71,14.18,9.61,13.43,8.58,5.68,6.12,6.59,5.94,1.02,0.83,8.62,10.47,14.74,6.12,3.15,3.61,5.38,5.1,2.78,8.25,7.23,5.47,5.93,5.38,5.38,5.65,6.02,11.4,10.29,9.27,10.1,8.99,2.78,3.89,5.19,1.58,2.32,3.24,2.78,2.32,4.45,2.34,7.12,5.41,6.67,15.06,12.89,24.98,33.54,39.5,77.64,85.57,84.85,79.71,83.2,82.75,76.5,68.63,62.65,63.45,21.39,39.36,32.13,26.37,31.64,40.66,34.53,39.3,54.67,53.21,47.86,37.06,40.08,23.54,14.2,12.65,8.56,5.71,5.9,4.64,5.71,7.64,7.06,6.96,6.38,8.12,6.48,7.93,7.25,8.41,5.8,5.12,4.64,2.42,3.48,3.19,3.86,4.73,6.57,14.49,21.93,10.1,14.92,25.3,26.32,29.75,30.95,38,45.88,48.19,48.93,31.97,35.87,44.49,37.91,27.71,23.92,27.26,34.12,37.09,19.86,18.32,23.92,32.94,45.04,47.47,47.81,62.67,74.56,81.82,79.9,68.88,72.03,76.14,77.36,80.42,75.17,93.38,90.71,87.45,89.77,73.95,63.37,57.27,64.57,58.64,50.9,58.47,52.54,32.97,45.25,45.5,40.87,54.58,71.99,87.3,87.47,86.63,92.18,90.08,90.66,91.9,83.56,87.06,83.89,73.79,73.62,65.61,63.44,71.04,55.09,57.43,46.74,44.12,42.12,23.85,19.85,18.52,9.01,8.51,6.67,4.42,3.09,1.75,5.78,1.59,1.42,1.25,1.17,1.26,2.48,3.22,3.22,3.06,2.23,2.15,1.65,2.07,2.89,2.64,3.98,3.81,5.47,7.21,8.37,10.78,16.33,16.25,18.08,20.22,21.87,20.86,12.16
"South of Market",27.7,14.11,15.43,17.8,14.44,3.68,4.58,8.15,13.81,9.43,8.6,5.58,3.6,1.69,2.08,1.07,0.73,1.58,1.41,1.74,0.39,0.39,3.1,4.56,5.09,23.1,23.1,20.53,14.68,14.47,14.63,18.86,14.35,14.75,18.01,17.57,7.47,0.61,0.23,0.47,0.42,0.52,0.56,0.7,1.08,0.61,0.56,0.51,1.87,2.37,10.53,27.66,32.83,33.38,33.8,39.69,68.16,96.63,95.72,95.88,92.48,95.65,92.44,78.58,73.29,79.75,51.16,54.87,45.29,30.48,35.4,33,27.58,39.29,46.54,48.5,51.5,34,35.51,20.78,12.94,10.62,6.24,4.81,5.02,3.13,1.81,1.89,2.06,2.84,4.73,4.61,3.87,2.63,1.28,4.05,4.27,3.65,4.18,4.18,2.96,1.53,1.5,2.59,3.96,10.1,18.17,10.37,17.22,29.42,31.01,31.53,34.83,53.27,57.13,60.92,61.96,38.9,40.58,52.37,42.48,34.06,31.04,32.62,35.87,36.42,21.88,18.4,24.55,24.66,35.49,37.16,42.48,60.02,70.12,78.49,81.83,73.94,82.79,90,91.98,94.66,91.78,98.16,95.48,93.02,94.95,92.73,89.6,91.01,93.85,91.18,79.91,77.09,66.55,32.9,50.18,42.28,35.1,41.58,48.83,55.65,51.06,41.29,58.96,55.78,65.5,79.33,67.29,80.74,79.03,56.99,63.08,47.56,49.9,67.87,44.41,50.91,42.63,48.56,45.03,25.3,20.33,15,6.73,9.02,6.39,2.79,2.46,1.51,20.09,1.96,1.83,1.6,1.54,1.38,4.12,4.18,4.99,4.55,1.84,2.61,2.52,2.74,3.48,3.2,1.1,2.29,3.74,4.33,5.98,7.43,8.36,8.73,8.29,8.29,7.94,6.98,4.65
"Central Sunset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,2.91,1.71,0.91,1.28,2.47,1.81,4.41,11.03,16.2,19.23,8.37,11.34,3.11,1.63,1.77,0.76,0.66,0.47,0.37,0.12,0.16,0.19,0.29,0.31,0.29,0.25,0.21,0.19,0.25,0.23,0.21,0.55,1.23,1.68,1.83,2.05,3.02,4.27,15.96,39.56,19.47,44.76,75.88,77.07,77.95,81.83,88.7,87.79,86.52,85.89,67.38,62.17,67.87,47.79,26.37,14.95,12.63,17.32,16.61,6,4.83,7.15,7.47,20.15,22.13,26.2,49.79,75.86,86.02,88.86,80.11,89.92,95.03,96.51,97.26,96.01,97.96,96.41,95.57,94.92,89.66,77.85,74.99,76.08,58.09,30.72,34.86,21.86,4.42,15.52,10.14,11.47,20,31,56.94,54.04,42.19,83.76,80.59,87.96,94.22,86.91,94.62,92.59,84.63,89.43,81.41,82.69,92.51,72.69,78.27,66.61,73.56,70.55,35.75,27.91,17.86,7.16,8.08,2.26,0.87,0.75,0.77,1.43,0.26,0.22,0.2,0.2,0.14,0.41,0.39,0.57,0.51,0.76,0.63,0.7,1.06,0.98,0.84,1.31,2.35,3.29,4.66,7.12,9.92,10.43,7.61,6.77,6.71,6.85,4.85,2.97
"Visitacion Valley",36.39,25.64,20.83,15.54,10.57,3.87,7.61,6.03,6.62,2.21,1.81,2.07,2.49,0.84,0.56,0.98,2.4,4.89,4.98,5.61,8.8,13.99,24.82,24.95,16.55,15.55,15.79,6.49,5.44,1.07,0.58,0.12,0.16,0.12,0.21,0.05,0.02,0.05,0,0.02,0.09,0,0.02,0.09,0.05,0,0.02,0,0.63,0.35,4.68,19.74,11.43,8.72,8,3.55,25.19,35.1,8.83,7.39,4.36,3.22,0.86,0.19,0.19,0.44,0.15,0.41,0.2,0.29,0.7,1.54,1.74,5.93,10.58,9.53,7.96,3.69,3.02,1.48,1.28,1.54,1.54,1.33,1.39,1.01,0.52,0.61,0.72,0.9,1.59,2.35,1.74,1.86,0.93,1.07,0.75,0.67,0.98,1.51,1.53,1.3,1.22,1.07,0.96,2.46,6.86,3.2,4.24,10.57,10.69,16.08,27.34,48.66,54.36,55.4,56.38,31.63,32.9,44.46,38.2,37.36,36.85,32.51,33.31,34.18,21.51,21.97,30.44,33.57,63.07,71.41,76.6,87.24,92.43,96.85,97.53,97.13,98.34,98.82,99.25,99.51,99.48,99.6,99.37,99.06,99.23,99,98.17,96.65,96.25,86.87,60.88,59.79,48.98,22.77,38.17,30.43,27.09,37.29,45.8,60.03,68.09,60.63,87.14,82.86,87.54,91,87.26,90.51,90.71,82.74,86.37,80.54,82.06,93.34,77.66,82.2,74.83,81.83,82.06,62.13,50.96,38.99,17.57,16.02,5.66,2.26,2.4,2.2,4.61,0.97,0.63,0.49,0.37,0.23,0.89,1.09,0.77,0.69,0.43,0.77,0.6,0.72,1.03,1.12,0.77,1.49,2.67,7.03,12.74,16.78,16.81,15.21,13.34,12.04,10.32,7.51,0.49
"Parkside",4.83,1.79,1.17,0.79,1.01,0.22,0.43,0.54,1.04,0.72,1.12,1.82,1.85,1.29,1.1,0.85,1.12,0.94,1.02,1.26,0.66,0.88,2.77,0.81,0.77,1.61,2.36,2.24,1.38,1.65,1.7,1.4,0.76,0.87,0.84,0.12,0.1,0.08,0.04,0,0.05,0.25,0.18,0.67,0.69,0.17,0.12,0.12,0.72,0.52,3.29,17.04,13.23,13.74,16.1,11.68,53.01,80.77,50.75,48.51,35.02,35.66,8.4,1.06,0.71,1.22,0.32,0.91,0.75,0.56,1.87,3.97,4.12,9.56,18.01,23.99,25.44,14.41,18.43,8.16,4.16,2.44,1.29,0.73,0.75,0.41,0.17,0.2,0.22,0.47,0.63,0.76,0.69,0.97,0.95,1.21,0.71,0.13,0.17,0.22,0.82,0.74,1.17,2.55,4.16,12.01,25.68,10.91,22.94,46.47,53.25,55.38,63.75,78.16,76.52,76.52,75.56,45.88,47.27,59.92,41.84,26.76,17.11,15.78,19.02,21.17,9.13,8.61,13.3,12.97,31.89,35.38,37.55,56.78,80.01,90.76,92.09,85.37,89.47,91.8,93.88,95.81,95.4,97.97,96.94,97.09,97.25,96.35,91.98,88.88,88.07,73.99,47.91,49.2,32.55,4.68,11.11,6.65,5.27,7.33,10.09,26.58,25.66,21.22,63.27,55.52,69.94,86.72,79.29,95.86,95.51,91.18,95.51,85.31,85.79,95.27,72.66,85.12,73.84,80.22,80.06,45.61,34.24,19.43,6.4,8.91,3.53,1.25,1.2,0.4,1.74,0.57,0.31,0.26,0.22,0.2,0.11,0.28,0.54,0.46,1.15,1.43,1.93,2.52,3.87,2.28,2.37,2.35,3.8,6.08,9.27,10.21,11.61,9.88,9.07,8.16,6.01,3.39,0.96
"Pacific Heights",9.91,11.73,12.53,16.32,17.47,11.14,12.73,12.03,21.35,16.82,23.23,25.98,20.69,17.17,12.97,12.27,14.44,11.52,7.77,9.15,4.05,5.25,7.18,2.9,2.37,3.49,3.11,3.43,2.81,3.14,3.49,4.28,2.99,3.84,6.33,6.65,4.01,9.17,10.9,9.55,13.3,18.51,14.62,12.8,12.33,6.85,8.96,10.02,18.01,14.5,24.81,47.28,50.85,55.18,60.98,57.09,82.31,95.52,96.25,91.78,90.07,83.56,73.14,56.97,51.62,48.06,20.68,25.5,18.62,14.2,23,30.41,27.8,40.05,48.97,53.78,53.14,42.25,45.21,33.25,29.37,27.02,16.3,12.65,14.38,11.56,8.17,9.75,10.41,9.43,9.89,11.04,8.97,8.91,8.57,12.93,10.61,9.01,11.41,12.81,11.87,7.72,7.49,9.53,13.87,20.39,28.15,16.37,20.99,32,30.89,29.86,32.77,45.35,41.64,41.81,40.07,23.36,24.27,33.26,28.49,22.39,22.56,25.23,31.41,33.48,23.72,22.62,26.45,21.71,33.46,35.66,35.16,50.66,56.47,61.69,63.72,51.42,63.1,73.1,79.19,86.95,80.72,95.04,93.34,93.03,94.81,92,83.74,81.57,84.38,76.24,50.86,52.65,42.5,18.63,29.94,22.58,18.91,25.66,32.38,44.79,47.38,42.29,72.12,69.65,74.51,78.66,68.21,78.6,76.5,63.28,68.54,54.05,54.71,72.26,45.01,49.47,42.54,49.57,46.08,23.39,19.87,16.9,10.36,10.7,14.05,4.99,3.24,2.75,5.81,1.91,2.27,2.08,2.27,1.5,2.53,3.89,4.75,5.44,5.69,5.92,6.75,6.41,7.33,7.28,8.44,11.06,13.48,15.23,19.3,20.8,23.7,26.4,27.72,29.77,29.58,27.03,19
"Nob Hill",27.35,24.2,15.34,34.27,26.41,17.39,14.89,14.67,18.77,17.11,21.98,18.38,13.46,9.03,9.19,13.34,17.17,14.34,5.92,16.94,13.9,11.57,15.67,12.29,10.43,8.18,8.23,11.42,11.36,9.5,14.6,16.08,15.64,20.31,20.53,10.7,7.68,7.9,11.14,13.61,13.28,13.06,13.39,10.98,8.07,7.3,5.93,6.3,8.59,8.26,8.45,20.4,27.04,20.66,35.26,28.34,61.6,69.23,69.5,62.78,66.49,67.67,53.9,56.11,50.46,63.91,22.57,30.18,26.33,16.39,18.51,24.33,20.04,33.97,40.94,44.08,44.37,34.54,38.55,30.53,28.15,28.34,24.05,25.45,28.69,25.45,16.87,17.16,17.16,18.68,19.83,19.64,12.2,11.25,10.96,13.8,10.37,7.99,7.71,8.94,9.61,9.04,6.57,5.99,7.14,13.89,21.6,15.79,19.74,36.47,38.25,38.91,41.17,53.48,54.14,55.45,53.57,29.98,31.2,33.82,28.73,22.55,20,21,27.55,28.27,19.55,18.36,21.73,19.45,29.73,34.45,34.17,49.86,57.89,57.26,53.38,42.74,50.68,61.68,65.83,68.98,63.66,83.69,84.05,86.49,91.26,92.52,88.65,90.99,93.69,88.38,66.58,72.34,63.33,40.38,50.94,43.51,37.15,38.05,46.11,61.5,61.68,54.7,74.57,71.98,74.31,76.98,65.11,74.96,70.3,58.08,61.34,41.92,46.4,66.17,44.11,52.2,42.88,53.08,45.96,25.66,23.46,21.09,17.93,20.67,19.33,11.86,7.21,4.67,6.81,4.58,3.88,4.32,3.7,3.17,3.46,3.55,4.17,4.34,4.88,6.83,5.85,8.24,9.57,10.11,9.07,13.78,18.22,22.31,24.62,24.53,26.49,27.02,27.11,27.67,24.47,21.8,16.36
"Inner Richmond",37.15,27.48,17.74,16.84,16.78,9.73,9.18,8.56,9.96,4.52,4.29,6.86,4.01,2.35,3.05,1.6,1.8,1.92,1.39,2.47,1.05,2.47,6.28,4.93,5.59,6.39,7.69,10.68,13.14,9.29,8.43,7.42,5.46,6.15,5.34,3.78,3.46,3.18,1.53,1.14,1.7,2.3,1.62,1.14,1.19,0.26,0.26,0.59,3.94,3.6,14.56,33.54,43.11,53.82,62.37,53.54,86.02,94.4,92.79,82.44,69.72,68.31,45.2,27.36,20.53,21.32,4.05,6.72,5.76,2.74,5.62,6.09,5.75,16.36,26.37,43.81,46.25,35.77,34.48,19.07,16.36,13.66,8.18,3.71,4.11,2.36,0.94,1.42,1.15,1.55,1.82,2.63,2.36,2.43,1.21,2.28,1.87,1.74,2.01,3.15,3.41,2.54,2.61,3.28,3.55,9.77,17.47,11.65,18.38,31.56,34.15,51.93,57.72,76.96,79.23,81.29,82.49,71.24,69.37,76.27,70.26,62.92,57.7,50.83,51.02,42.76,30.47,24.92,29.54,25.12,35.03,36.29,38.25,49.87,60.7,69.19,67.43,57.77,58.03,61.49,62.27,65.54,60.12,79.99,74.72,77.26,82.59,74.79,60.43,69.79,81.42,79.99,69.2,72.06,68.36,42.82,57.05,52.46,50.52,57.18,67.08,71.28,65.91,54.2,71.54,68.37,71.8,78.88,71.58,75.84,69.19,56.46,61.11,53.17,59.3,73,46.06,51.29,45.74,52.68,52.55,29.63,29.65,26.49,13.76,15.58,6.72,2.78,3.62,3.17,5.43,2.07,1.75,1.94,0.84,0.52,0.71,0.58,0.65,0.52,1.03,2.91,8.14,9.56,11.3,10.34,11.25,15.64,14.09,16.42,20.04,21.59,19.59,14.35,11.64,12.67,10.73,10.8,6.85
"Noe Valley",3.38,3.72,5.04,9.17,13.04,9.92,16.9,13.66,16.74,7.45,6.23,10.34,12.07,7.46,4.04,2.93,3.26,4.56,2.18,4.94,4.06,6.73,10.12,6.27,4.39,5.24,6.45,5.32,4.78,3.37,3,2.23,1.77,1.82,0.72,1.02,0.87,0.41,0.05,0.05,0.18,0.38,0.33,1.1,1.02,0.43,1.17,0.99,5.11,2.75,14.09,34.11,53.52,68.05,79.66,77.38,95.61,98.3,97.61,96.59,94.56,94.16,78.81,47.53,36.56,26.98,9.74,13.44,12.03,9.39,13.97,17.08,16.53,24.1,29.41,36.83,43.3,38.34,44.23,33.15,26.48,22.56,13.92,11.81,11.07,5.69,2.9,2.79,3.02,4.51,5.35,5.63,4.31,3.74,3.22,5.37,3.84,3.44,4.49,4.55,5.14,3.04,2.81,3.41,4.55,14.58,29.08,17.16,29.39,47.76,48.63,51.59,54.35,64.61,65.31,65.09,61.74,44.15,40.35,44.26,39.77,32.28,24.94,21,19.97,18.96,11.09,9.94,12.51,11.62,23.37,26.67,30.49,39.13,49.24,57.08,60.56,53.86,66.66,75.66,81.2,86.62,82.03,94.89,94.37,94.89,96.46,96.13,91.96,92.97,94.59,90.67,80.95,82.62,78.01,52.46,64.82,52.32,42.56,42.92,44.78,50.38,47.62,37.97,54.51,45.13,43.82,46.51,36.25,46.49,46.16,39.03,45.62,33.39,28.24,38.81,19.83,27.86,25.98,31.71,29.18,12.72,11.32,8.92,5.03,5.52,3.18,1.06,1.01,1.17,7.1,1.31,0.98,1.41,1.52,1.14,1.89,1.81,2.56,2.32,2.83,3.29,4.88,5.8,7.07,6.82,6.75,9.04,12.17,15.47,19.43,21.19,24.38,24.38,25.1,27.75,25.26,22.35,16.19
