"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",254200,252600,251400,250500,251300,252000,252100,252200,251900,253100,257700,262400,266600,271000,275000,278700,283000,287000,289800,292000,294600,298700,302800,307200,312100,317600,321500,325300,329100,334000,339400,345500,349700,353200,355900,357800,363500,373200,380300,386100,395900,406700,416700,429400,445300,461000,476300,493800,513000,528500,546400,560600,568200,577000,593400,603600,610600,615800,617600,614700,607200,599800,596100,596500,602500,611400,608200,599500,597800,601900,603300,601900,603000,609900,617300,628700,642300,649000,646900,645900,644400,641400,639200,637100,632000,626800,626800,622600,609700,597200,601400,617400,633200,643600,655100,672000,691100,706200,722200,741800,756400,768000,780600,789000,796200,808600,823700,837500,847000,855400,862400,868400,872100,876100,880600,884500,884800,886200,887400,885800,886600,885800,874100,857100,852500,855900,854200,845300,842500,844500,846500,850400,859600,873900,892100,909700,916400,916600,914400,916000,909200,898700,888600,878800,867700,857700,842200,828600,823500,818500,815000,816000,816200,810500,806800,805100,798500,785500,773400,765700,762800,763800,765600,767200,770800,777400,784200,785600,782000,778800,780600,784100,787600,792100,798000,803700,810700,816600,816000,813500,816800,822800,826600,832400,841300,846900,847500,847500,849300,851800,854600,858800,863300,868300,877400,893500,910400,925800,939200,950100,958700,966700,976400,993500,1017300,1041800,1065200,1083000,1094000,1100600,1108900,1118200,1130800,1146500,1166500,1185700,1207100,1238300,1269900,1283800,1290200,1303800,1318200,1330300,1344500,1359500,1376100,1399500,1422300
"Bernal Heights",211000,217900,227100,236100,243000,245900,246000,246500,248600,252200,255500,257100,256900,255000,253600,254700,256600,258400,261200,264500,268000,272600,278100,283700,289200,294200,296700,300000,304400,308500,312100,317200,322400,328000,330600,329600,329500,334600,342000,349700,358000,368900,382400,396800,409100,419400,431000,447400,465300,480900,492100,498900,503100,506800,509900,511500,511700,515400,523000,528800,525500,514600,505000,503000,507600,513600,517100,517100,515000,513100,513100,513500,517700,529700,545300,558200,565500,568000,568300,570800,575800,579800,580100,579400,578900,579600,578800,574900,572500,573000,576700,584000,594600,605300,617600,634400,650400,661100,669800,678100,684500,695900,712800,726600,738100,752900,768800,777300,786600,802900,819600,833200,847200,856800,861200,863500,864000,864400,864500,864800,865400,861400,852400,844000,840000,835500,828100,818200,812300,812400,815600,820100,824000,827800,834500,846500,856600,863000,864900,863700,860400,856400,852600,846600,839700,831600,823200,813100,799900,788600,785200,788700,787900,781300,773500,768900,761400,752400,745400,740900,738400,737500,739700,745500,751400,755300,757600,758200,759000,762500,765600,765800,768000,774600,780100,784500,790500,794400,790700,782000,773900,767000,758900,755700,759800,762300,758600,754400,752300,751200,753800,760500,766400,774900,789300,805100,818300,832100,845300,857600,870700,885200,896400,908900,934100,969200,1005900,1032300,1043700,1046800,1053900,1062700,1072800,1081400,1090600,1101700,1120900,1139400,1152700,1160400,1169000,1177500,1188600,1197400,1207800,1225100,1252600,1285700,1314300
"Excelsior",199100,198600,198600,199400,200700,201900,203900,206700,209100,210100,210800,212200,213900,216200,219300,222500,225800,229300,232700,236500,240600,244500,247500,250400,253300,255300,255800,256300,257500,258400,258700,259200,259900,261400,264000,266500,268200,270600,274700,280200,286100,292400,299000,306400,314900,324100,333200,340600,345600,351300,357900,361700,363100,365100,366600,368200,369900,368800,367600,371100,376200,375800,373700,375900,379500,382100,384600,385200,386000,391000,397500,399900,402300,409800,421500,431100,437500,440500,444500,450300,454300,455900,457000,458900,461800,464800,466600,469400,475100,481900,488400,496700,507500,517200,525200,536800,551100,563700,572300,578400,582900,590100,599000,606400,614200,626600,639800,648200,653000,658700,665900,674500,686300,697400,701600,699500,698500,699200,701700,707100,714100,719500,720200,717000,712100,708200,708500,711500,714400,718300,722600,725800,731300,738200,743900,747700,748300,746900,744200,739700,729400,714400,699600,685700,668000,650000,634700,621200,610400,603200,598400,595100,590300,583600,576700,568700,559600,552000,547200,544600,543400,540900,538400,539800,543700,547800,550200,551000,551600,554000,555400,554300,550200,545500,543000,541000,538400,534700,529900,526400,524700,521100,517700,516600,518400,518900,516900,515000,516200,517700,517900,516500,518100,523100,529300,536800,545900,555400,562700,565800,567500,572400,579700,587600,601200,617600,634200,647200,656200,662100,671000,681200,689300,694500,698000,702800,705200,703200,701100,700900,702200,704900,706100,705400,706400,713000,725900,742000,754800
"Central Richmond",329500,331600,336500,340500,343200,343700,341100,337200,338500,342500,345300,347300,349700,351800,354900,358200,362300,368800,375800,382400,389300,396300,403400,411400,418400,425700,433000,438600,442400,446500,451800,458300,464100,467400,469800,475600,485000,491100,493500,497600,504100,513500,524700,539900,559200,579800,597300,614400,628600,638800,651100,667800,681500,682500,676400,674400,676000,672600,669200,672200,676600,675900,666500,654900,644400,641200,641200,637600,630800,631300,635300,635500,639500,651600,666500,676600,687700,698800,708100,716100,722800,724900,723700,719200,709600,699000,696900,703400,711100,717000,724600,733100,744100,757300,770700,786900,807500,828900,843700,851800,862000,878400,897000,911100,920900,934200,956200,977800,986300,983100,980500,985600,988900,990600,995100,1000300,997200,986100,970200,951500,943000,951400,963700,966700,964700,957800,949200,946400,948400,953100,961600,977100,990600,1001000,1010300,1020600,1032400,1044300,1046700,1043500,1044100,1040900,1032800,1024300,1016200,1004900,990900,979600,971300,959600,950000,938700,923200,910900,906200,900400,893500,880500,865100,853300,844700,838500,837600,842900,850300,858900,865400,866700,864900,867500,872700,874100,868500,866300,869100,871200,873200,877800,875200,871500,870500,865300,854500,844700,841300,844200,851300,860700,874200,885500,896100,900000,901500,906200,917800,932900,951800,966900,974300,973500,965600,957500,955300,962000,974900,998100,1032400,1065000,1085800,1096700,1100900,1105200,1116200,1130500,1146100,1172800,1205900,1235100,1253800,1266100,1279900,1297800,1312900,1330900,1351900,1369500,1385000,1404500,1421800
"Bayview",177500,174800,173200,171700,171300,170400,168700,167500,167500,167800,167800,168500,170500,173400,176100,178200,178700,178600,179300,181600,184800,187600,189100,190300,191800,192900,193200,194300,197400,201100,202800,204000,206700,209700,212300,215000,217100,219100,222600,227200,231400,236300,243300,251600,259700,267200,274400,284000,294400,302400,309100,315100,317900,320100,322400,321300,316800,312600,311900,312800,313100,314700,319600,324000,325800,327600,330700,335600,341600,345100,346100,347900,352200,356700,361600,367900,375800,382500,386600,388600,389900,391800,397000,402800,406600,409200,410600,410800,413500,417600,423800,434000,446300,457700,466600,474200,482200,487900,488200,487900,490000,493600,498900,505800,514000,524500,535000,542100,547900,555200,562900,573600,585200,595700,602700,604700,603700,602400,602200,604100,608900,615600,624100,628000,627300,624700,621400,615300,613800,617800,623600,629600,636800,643800,649900,655100,656600,652100,640800,628300,615300,605200,596900,585000,570000,556300,543700,530900,520500,519300,526000,534600,538400,535300,528500,523500,518100,509800,500500,494300,490200,485800,483300,482500,478900,473500,470500,468200,463600,458100,453300,448900,446300,443700,439600,434700,429500,422900,414800,406800,400800,396000,391500,388800,387500,383900,378700,377200,382100,386800,388300,388900,391800,397000,403000,408100,412500,417000,421400,423100,423200,427400,435100,441500,446600,454400,467000,480500,491700,502200,514400,527700,540300,552400,563900,578300,595200,612500,627400,639900,646900,650900,652600,655300,661400,669900,679200,693300,707500
"South of Market",271600,267500,261300,258000,259000,260200,260300,261700,266100,270900,272700,275500,284200,291200,293800,297500,300200,304200,310100,315000,317200,321400,328500,339000,346400,353100,362000,367200,368900,373700,376200,376000,377500,380800,383500,385500,386900,393600,403700,411700,418100,428000,444500,463600,479900,494300,512400,529800,551300,576200,597100,608600,619200,626000,634600,641700,646800,646600,648900,647300,636100,617000,604700,600700,599300,596600,586600,576900,571800,570500,563800,553700,545400,548200,560200,577900,589900,589700,583500,581500,575800,564600,557200,558900,561700,562800,564800,569400,572900,573100,579200,590900,601700,608500,614000,619900,634000,646200,653700,656000,663400,678600,693800,699300,713500,744800,781600,813700,827400,820700,811600,810300,807200,806100,811700,823800,833700,832600,821300,806900,799800,805400,812700,814100,819400,827100,827100,820400,818100,822300,827900,832800,840200,852200,858200,861700,865000,870500,870800,865700,858800,863500,870000,872900,879800,884600,874100,857300,848500,840600,836100,832600,818900,795000,776600,761000,743000,726400,717900,719100,721600,723200,726800,734400,743600,751600,755300,753900,748400,748000,754500,754700,744100,737900,737400,739000,735700,728700,722600,732800,751100,761300,758900,757800,759300,758900,758300,759600,766700,773800,786500,797800,809100,823300,842000,853600,863300,875800,886400,900000,915100,926000,931600,938200,943400,952400,973600,1004800,1036500,1052100,1053800,1056400,1071100,1087300,1102900,1118200,1131800,1140000,1155500,1175200,1187100,1199900,1219100,1235700,1244400,1254300,1260700,1268600,1276700
"Central Sunset",276500,277500,278700,280300,281500,281500,283000,286700,289600,291700,294800,297500,300100,303300,306200,308600,312000,316000,319300,322000,326200,331500,336500,340400,343500,346400,350400,356000,361800,366100,370100,374100,377300,380200,382100,383200,385700,389800,393900,398700,404700,411400,419000,427800,438200,450100,461900,473900,486600,498900,506700,509700,508800,511500,517200,523100,526300,525500,521700,521000,519700,517700,518700,523200,529400,535500,536600,534500,534100,537100,539800,540400,544100,555000,566600,574400,581200,587900,592200,596400,600300,602300,604700,607000,607900,607800,611600,620200,631300,639300,646700,655300,667100,679000,691400,707900,725300,734200,735900,736900,738600,741900,750500,761200,773700,792300,814500,828900,834600,838300,844500,852600,857100,858400,858500,853500,842500,830900,820800,812200,807300,806100,805200,802600,802200,804100,805700,807500,811900,817700,825200,835000,844400,856600,869000,874400,872800,873300,871600,866100,857300,849700,843000,837200,831700,822500,807400,793600,784600,775700,770600,772100,772700,767600,762000,758000,754300,750900,748600,750300,755100,758800,761700,767000,773300,778600,780000,777100,773500,772000,771500,768900,764500,760800,758500,754800,752200,749700,742400,731800,724400,721800,720700,720900,722200,723100,723100,724400,724700,723800,726000,730100,735400,741200,749700,760700,773500,785600,798400,811200,823400,833900,844100,854500,865800,878700,895200,909900,922200,933300,939000,940100,945600,957000,968200,982700,999700,1011600,1020300,1030400,1035700,1035300,1036200,1038500,1041800,1048400,1060900,1080400,1098600
"Visitacion Valley",173400,173100,174300,175600,176600,177600,179200,181200,183100,185000,186500,187900,189800,191800,193500,195300,196600,197300,198100,199300,201300,203600,206300,209700,213300,215700,216800,218100,219700,220000,219600,220400,221800,223300,225200,226900,228000,229900,233400,238200,242900,248300,254300,261400,269200,276700,282100,287700,294700,301500,307200,310800,313400,316400,320200,322300,322900,322400,324000,327200,329300,329800,331300,334800,340200,345800,350200,353200,356500,362000,368400,372800,376900,384200,392300,398100,401400,404300,407900,412300,415500,417000,416900,416300,417300,420200,423900,429400,436000,441800,447300,454400,462300,471100,480300,491400,502600,509800,511100,510900,514200,521700,530000,537800,548800,561800,573700,582100,588700,596800,607600,618400,626800,632100,635400,638500,639500,638000,637500,640500,646600,651100,653900,655000,656800,657300,655200,649900,647700,649000,652000,655100,658000,660100,661400,664200,665000,662100,658000,653200,643000,630500,618600,604700,591000,581200,572800,560900,547600,537200,533200,532800,532400,529400,525200,519700,512600,505500,501700,502500,505400,508100,509200,511100,514200,519100,523200,525400,522400,515100,507700,502100,497200,493100,489200,484500,480000,475100,468500,463500,462700,461600,458000,455200,454900,455300,454600,452400,450600,452000,455700,460800,467600,476700,484700,489300,493000,499400,508400,515700,517400,519100,525000,532800,542800,558900,576600,590100,599900,607400,612300,617500,624400,628900,630600,630100,630200,632200,636600,641000,645500,646800,647400,651800,661100,669700,677100,690500,706000
"Parkside",267500,270200,273300,276300,278300,279500,280000,281200,283000,285300,288100,291000,293700,296300,298900,301400,303600,305400,308000,311600,316700,322700,328300,333100,337000,339200,340500,343000,346700,350500,353600,357000,359600,362000,364400,367000,370300,375600,380700,384300,388000,393100,399900,408000,417000,427500,438700,447700,453900,459100,464600,471100,477500,484300,490700,494500,495000,494600,494000,492400,490700,490700,493900,497400,501400,506400,510600,511400,511000,511100,511500,514000,520900,531300,542700,551700,557700,561400,563400,566600,570900,573200,574400,576200,577800,580100,584300,591100,599900,606700,613000,622200,636200,653000,669900,686700,701600,708900,709200,709300,710500,714100,721400,730900,740100,750600,764600,777600,785200,790200,797100,806100,815200,824000,831400,834300,833100,828200,819900,812400,809600,808800,807300,803600,801100,800200,799600,798500,799100,801900,807100,815000,827000,841800,854700,863500,867000,866800,864600,862300,856400,850000,844600,839300,830500,819000,803100,787200,774900,765300,756200,749900,746100,743000,739700,735900,731500,727900,727700,730400,733200,734400,736700,741500,747400,752900,755800,753500,749900,748200,748400,746200,744800,746200,749300,748200,745500,741500,735100,726800,721400,718900,715800,714800,715700,713900,708800,705900,704400,703400,704200,708400,716900,729000,741600,752900,763400,774900,787300,798300,808700,821500,832700,839600,841300,841900,849700,862000,871200,879000,888600,897300,904600,910500,917300,926200,937800,951200,962200,968700,974600,980300,984900,990600,995300,1000000,1012800,1037200,1060200
"Pacific Heights",583500,591500,604400,618800,627900,630900,634500,636700,636500,636800,639700,644900,650500,653500,656800,664900,678000,690200,700900,711800,727200,748500,765500,772400,778600,794500,808800,814100,820200,825800,829700,837300,856600,883500,909600,920000,928000,942900,945200,949300,964200,988200,1019100,1059900,1081300,1101200,1132500,1175500,1221100,1263300,1300700,1342300,1376300,1391100,1402100,1421400,1441600,1440700,1432800,1442600,1450000,1446600,1456100,1475200,1497600,1527000,1546400,1550500,1569500,1601800,1623400,1617100,1607300,1620500,1649600,1658200,1662300,1680900,1696900,1706700,1712500,1713500,1709700,1706600,1712000,1730900,1747900,1754400,1750400,1747600,1752100,1762200,1761800,1764800,1776500,1797700,1787100,1739900,1686100,1646100,1614400,1602700,1600900,1585100,1567700,1570900,1592600,1615800,1636800,1648300,1658200,1691200,1731800,1744600,1744400,1751300,1765800,1778500,1785200,1788900,1813800,1843400,1852600,1838000,1830500,1815600,1810100,1808800,1820300,1827700,1827300,1830100,1849000,1873300,1907100,1948600,1971500,1980500,1966300,1936300,1904800,1892100,1887900,1879200,1871900,1880500,1889300,1881800,1860800,1860000,1896800,1958400,1987200,1963700,1918900,1882200,1843800,1808900,1779800,1766400,1773300,1772900,1751300,1732800,1728500,1731700,1738500,1738200,1724300,1705500,1689200,1678900,1673900,1675300,1675500,1668000,1656400,1650900,1652200,1646300,1626300,1613700,1613100,1608100,1601500,1603700,1609500,1620300,1644700,1665900,1667100,1665600,1689900,1728900,1764600,1789200,1807800,1829900,1851600,1860300,1866500,1879500,1907600,1947400,1988100,2025000,2062600,2097700,2126100,2144200,2149200,2152300,2162800,2190400,2233100,2266600,2278300,2279100,2284000,2283800,2277100,2271800,2284100,2312000,2328100,2332100,2340000,2374500,2414600
"Nob Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527900,537500,538300,538900,541300,552900,567600,579400,586300,594300,595900,607000,624700,631200,628200,634900,646000,655200,660600,664800,668000,675600,687200,702900,708500,704200,699800,710100,732100,760400,773300,775600,783900,810500,843900,868500,873900,878100,889500,909400,931400,957000,993500,1023400,1026200,1017100,1017700,1024500,1038400,1054800,1066200,1075000,1086500,1097800,1121000,1165300,1223800,1280800,1332900,1373200,1407800,1418000,1403000,1390000,1391900,1400000,1425900,1474400,1513800,1536100,1524200,1486100,1458900,1482900,1530900,1564800,1563300,1501700,1399600,1301300,1242700,1206600,1190800,1184600,1179400,1159100,1140700,1122500,1104000,1108000,1126000,1145000,1154200,1153000,1149600,1175200,1215600,1241200,1239500,1234100,1235900,1254200,1271400,1269500,1255200,1246500,1246100,1253200,1256400,1257000,1266700,1277000,1282600,1281600,1290700,1304500,1323800,1340400,1359500,1374100,1383800,1400700,1423000,1432400,1437800,1452200,1445700,1420600,1401400,1392400,1395600,1407700,1434300,1460000,1486000,1524500,1570700,1598700,1636200,1690700,1732800,1759800,1720100,1609600,1498100,1432400,1392000,1368900,1347200,1327400,1310800,1307500,1303300,1293200,1297700,1322900,1340100,1346500,1341700,1329100,1318000,1306800,1289500,1275100,1274100,1272600,1277600,1291100,1295100,1268800,1259800,1271700,1278700,1269600,1260200,1240900,1225100,1224800,1239700,1258200,1270700,1260000,1228800,1207200,1210100,1223300,1245000,1286100,1330400,1363800,1379800,1390200,1409900,1440500,1460900,1478400,1504500,1534200,1552400,1562300,1554900,1531000,1518400,1528600,1539900,1580300,1663200,1710600,1714800,1733300,1759900,1747200,1739100,1767100,1811900,1849700,1901800,1960000,2001700
"Inner Richmond",360400,360200,359800,360200,358200,355800,353600,351400,351600,355600,364500,371500,377800,385300,393200,394900,397900,404100,413100,416800,422800,433100,440500,440800,444500,453000,466500,483900,493400,487200,476000,481600,500200,518200,523500,529800,537400,544700,549200,557700,568500,593400,630100,667300,695100,718700,735800,750000,759100,767600,773300,785300,799500,810000,812200,806400,787900,763500,758500,770700,784300,784400,782700,777700,774600,771700,768600,763000,754800,749900,749400,741400,730800,737800,753300,761600,769200,776700,777500,774700,777300,781700,782600,785800,790400,787400,786500,795400,807500,815300,821800,832400,850900,870400,889500,910600,929100,946300,962700,976300,988400,1005700,1027000,1052500,1081400,1106700,1128700,1152500,1176800,1189300,1182200,1168900,1165900,1175100,1182200,1180800,1173100,1164900,1154500,1136200,1117900,1105600,1098100,1094800,1089000,1071300,1055100,1043300,1025400,1014500,1018800,1033300,1053800,1080000,1109800,1132100,1141200,1154300,1171400,1182200,1192400,1201900,1192700,1171200,1152700,1138200,1123100,1111300,1105300,1097900,1093600,1090500,1088000,1080300,1074500,1069500,1065800,1057100,1049900,1035100,1010300,988800,981600,982700,986500,997500,1007900,1005600,995500,986200,978700,987000,1006300,1016400,1011300,1008400,1007100,999900,988600,988600,994600,1006400,1018100,1028400,1034100,1038500,1044200,1047600,1045600,1045500,1048000,1049100,1054400,1063100,1073200,1082200,1090900,1105300,1129400,1158100,1187000,1215800,1245200,1270100,1291900,1314200,1333300,1347600,1380400,1412000,1416500,1406500,1408300,1410700,1422000,1447500,1474800,1499900,1524200,1538700,1549700,1563300,1574600,1587600,1599200,1605600,1629700,1674800,1715100
"Noe Valley",357500,361400,364200,366100,368100,369300,370900,373100,377300,383900,390200,393700,395700,398800,402900,409600,417500,425800,434900,442900,448600,455700,464000,470300,475400,481300,489900,498700,503400,504900,511200,520800,527400,533300,539700,545400,552000,562700,577200,594100,611000,627200,642300,662900,690400,717700,741000,765000,787000,805200,817900,831300,845200,854700,859200,861300,858600,851800,848900,851900,852500,847800,841100,831700,824800,825800,826100,817800,810900,812000,811000,800800,794500,804500,822300,839400,856500,871300,877100,884400,894400,898700,892400,883500,875300,868300,865100,864100,863900,868200,878300,890100,906500,927100,950500,979900,1010900,1031500,1036100,1034300,1037000,1045600,1061900,1080300,1096400,1115100,1146000,1178100,1197500,1203300,1211100,1228900,1239800,1236200,1228300,1221000,1208600,1197600,1188500,1178500,1176300,1181000,1181700,1177500,1179000,1187300,1196500,1198900,1203000,1215400,1231600,1245600,1257200,1267600,1280200,1296100,1310200,1313600,1307700,1304700,1303800,1297300,1280900,1267000,1264800,1269900,1268700,1258500,1248400,1246900,1251900,1255800,1242300,1214100,1192800,1180000,1159200,1139300,1133400,1134100,1128200,1115800,1104100,1100100,1106300,1116000,1120700,1118700,1118400,1124200,1127800,1123200,1116700,1115500,1117600,1124400,1139000,1153000,1153100,1143700,1138400,1137700,1138500,1140900,1145700,1149900,1154700,1155900,1152900,1153100,1164700,1181800,1199400,1210900,1225400,1252500,1288800,1324000,1357500,1386500,1412900,1437700,1460700,1482700,1503800,1530500,1563400,1589600,1603500,1612600,1622400,1628000,1627900,1633100,1645400,1661800,1684300,1704500,1709100,1705200,1710800,1723000,1729100,1731900,1741600,1759700,1789100,1827800,1861000
"Outer Sunset",257100,253700,252000,249400,246200,245000,245400,246000,246900,248100,248500,248800,250900,254900,259800,266600,273400,278500,281600,283900,286200,289700,293500,296900,299800,302400,303100,303100,303800,305400,306500,308000,310000,312900,316700,320000,322300,325000,327900,331300,336200,341400,348000,356800,365600,373700,382100,391200,401000,410000,419000,428800,435900,441600,447800,453700,457000,456400,454200,455700,456400,454900,455600,456700,456900,456300,454600,450400,447500,446800,447300,446000,448400,455600,463900,472200,482400,490200,495300,502500,511100,517000,520400,523800,527600,530800,533800,537600,544000,551900,560000,568600,580700,594300,608300,621900,636100,647500,652400,654200,657600,664600,673900,682900,689700,700500,714800,728800,736200,739400,744900,752500,754400,754400,756900,756700,752200,747100,743400,739500,736500,735900,734900,732200,731700,733300,732300,731200,734400,741900,749700,758600,767200,775000,782400,789600,791500,789200,784700,778700,770700,762500,753100,743100,733100,722800,712700,704100,698500,693600,691800,694300,694100,682900,669100,660400,658000,659700,663200,666900,671100,675100,679600,686300,693300,701500,709100,709900,702500,695000,689800,683100,675800,671300,667300,660800,657200,658200,656800,651400,648000,646600,644100,641000,637700,633200,628100,624100,621600,620900,623900,629600,636400,642800,650600,662100,677100,692400,707500,720400,729300,736800,743600,748800,756100,766400,776700,784900,794400,803300,809200,811000,813700,818900,827900,840900,858800,876200,888600,894600,896300,896400,899600,907700,918200,928000,938200,955100,973300
"Portola",213700,215400,216500,218300,219700,221200,223200,225000,226100,228600,231000,231700,231800,232900,234400,236800,239500,242400,245500,249300,252700,256000,259400,263500,265500,266400,267900,270000,271200,271500,271300,272800,276100,279000,281200,283600,287300,292200,297000,300900,305200,311900,322100,332800,341000,348500,356900,364600,370600,377100,382500,383900,383500,384300,386500,387700,386300,383800,384000,386900,389900,388700,387700,392200,399200,403100,404300,405100,409100,415700,421200,421500,423600,432900,446900,456700,463200,467300,468400,467700,467500,467100,466900,469000,472200,476000,480000,486900,496600,505600,515300,529700,548700,565900,579800,593200,605600,611400,609800,607300,607900,610400,615000,621400,625900,630200,637200,645500,653100,661300,670600,681000,691000,702600,711900,715500,716300,717900,721200,724100,725000,725600,724900,721600,718900,717900,712900,703600,696100,694800,696000,698300,704300,711000,717800,727000,735300,740300,743100,740400,733000,725800,716400,704300,691200,679600,667600,648400,625800,610300,603600,601800,602300,600500,597000,592700,587200,580600,576700,577600,579300,578500,580300,586300,590400,593200,596900,599300,598600,598800,598500,597300,595300,589900,582700,578100,575800,572200,567200,561700,558500,556000,554100,555100,558300,558900,556300,553800,552400,550800,547600,546200,547100,553700,564900,576900,587300,599400,610700,619000,624200,628300,634600,644600,659100,672900,684000,692800,699500,704000,711200,720100,727700,735200,743400,747700,751000,753000,751300,746400,744400,745200,747200,750100,755900,763300,771900,786700,801500
"Outer Richmond",306700,301600,300900,300900,299300,298500,299500,301100,303400,305700,307100,308400,310800,313000,315400,318200,321700,324700,326900,328800,331100,331700,331600,333600,338300,342900,348200,353800,359000,363500,367300,370100,374100,378800,382700,384800,388100,390800,391600,391500,393400,399100,409500,421800,433900,448600,466600,487600,504800,517800,528200,540400,551200,557600,560300,565600,570700,568900,566100,567000,569300,571300,572000,570200,569200,572200,572500,568500,565500,567900,568200,564300,560500,560400,563000,567700,573400,578500,583900,591400,599600,604000,606800,611100,618600,630500,647200,662100,671900,675000,679000,685600,689100,689000,692000,701200,713300,719100,720900,729400,745200,760400,770900,777700,787300,803500,822600,837000,842100,842700,839300,832500,825300,825400,828900,828700,824300,819900,815200,810800,813200,825500,837600,841300,840200,837100,832500,831700,832400,831400,830100,834100,840300,847800,856800,865900,870200,870700,873100,877000,873700,862400,852300,842600,829100,811800,796000,786000,780000,775000,772000,769700,779200,799900,816000,819100,816400,805400,790100,776000,767100,764100,764000,763400,760200,757100,755900,754700,750100,744500,740000,736000,733000,729900,727800,725200,723600,722500,719500,714500,710100,709100,712000,717700,722500,724600,722400,719900,719200,717700,713700,709400,710600,719000,729500,739000,748900,759100,770300,780500,786400,789500,795800,808700,831600,861800,889600,910200,926400,940200,947900,955000,962600,973200,989400,1009800,1026100,1038600,1053800,1067900,1077800,1084300,1093200,1103300,1111500,1113900,1117100,1135800,1158700
