"","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01"
"Mission",240100,236800,234600,233900,234400,234500,235000,235700,236600,238900,241800,244300,248600,254500,260200,266200,272600,278000,281400,284000,287300,291500,295600,300100,303300,305000,305600,307200,309500,313400,318800,324700,329600,333800,337100,340300,345900,354000,362000,369800,378500,387900,399000,411500,424400,437100,449600,461900,476500,491300,505200,514700,519900,526300,537600,547500,554300,559600,564700,569600,569100,564300,562600,565300,569900,573000,566100,558300,558700,564100,565400,566200,569700,579100,589400,601000,612900,619600,618900,615700,612300,608600,605500,598100,589700,585200,583900,578600,570700,565400,570000,582600,595900,606600,616100,628300,644200,659900,673600,688100,701100,714200,728600,739800,747800,757800,772300,788800,801100,808000,812100,815800,818900,822100,826500,832400,836300,839700,841800,839500,838800,837500,831000,822700,821300,821800,818800,809600,802400,800800,805700,813900,822300,830600,841400,852200,857300,859000,857200,853700,848700,844500,837900,829500,821700,813900,804100,794800,788600,781200,775500,774000,768600,755600,744000,737000,727000,714200,703700,698200,695400,695300,698200,703700,710600,717500,723000,725200,724500,724800,727100,728800,729700,732400,734800,737900,743400,747900,745100,739500,738800,742700,744800,746300,749100,751100,753200,756200,759000,762700,768700,775000,783000,792500,802400,812800,826600,843600,857800,866600,874600,884400,894300,906100,920000,936600,959900,982800,996600,1005400,1016300,1027300,1039700,1054000,1072200,1093700,1115600,1136100,1155700,1170800,1184300,1197500,1208000,1218000,1230700,1244400,1260800,1283000,1304000
"Bernal Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249800,251500,250700,248900,247600,248000,248800,250300,253200,256800,261100,266100,270500,274200,278300,282500,285500,288900,292800,296300,300500,305800,310900,315800,318600,318900,320000,323700,328200,334500,343200,354600,367800,381600,392900,402200,412500,425100,436800,446300,455400,463300,468600,472400,474700,474200,473000,478400,489400,498000,497300,489400,482200,481100,483900,487400,489600,490400,490500,490100,489200,489400,495500,510100,527800,540600,547800,551700,553800,556900,561400,564200,564400,563800,562700,561600,558300,552000,547400,545900,547500,553600,564200,575700,586100,597900,613100,627400,638300,647400,655200,665100,680000,693300,703100,713900,728700,741600,751600,762200,773700,785500,798000,809300,816900,821800,824400,824800,822500,820800,822100,820500,815900,812100,811200,807700,797800,785000,776700,775000,779600,786600,789700,791400,797400,807800,817700,826300,830900,829800,825600,823200,821400,815500,807600,797500,784800,771600,758000,745500,740300,744100,743700,735700,726500,720300,711400,702800,696800,694400,694900,696400,698700,703000,709600,714700,716200,713700,712900,718900,725100,723400,718100,716800,718300,720100,723500,726800,722700,712700,705300,702700,700600,701200,704500,706400,704700,703100,702600,701900,703500,711000,722400,732500,742000,754000,768700,783400,798700,812300,825700,840100,854000,865800,883600,908100,936700,961100,976900,986900,996600,1002900,1009600,1018900,1030700,1044900,1064600,1082100,1094400,1101000,1107200,1113600,1123000,1131900,1141700,1157200,1183700,1219900,1252200
"Excelsior",264200,262400,262400,262900,263200,263600,263600,264500,266200,268500,271900,274100,275700,276200,277300,279800,285600,292600,298200,301700,305000,307700,308500,313100,323400,333400,340000,342300,341200,339800,338500,337100,338900,342000,344700,347300,346700,345300,347500,354200,360900,366600,375200,388700,401200,411900,425100,439300,448700,454500,459000,459700,458900,459400,461500,465600,469500,468300,466700,469200,477500,485300,490900,496900,505400,513500,518300,516400,514500,518200,522200,520300,518100,521600,529500,537500,545700,552800,560700,570900,579200,584200,587000,589300,593100,600000,607900,616800,625600,631100,632900,637000,645400,654300,663500,678800,693400,701700,706900,714000,720600,730200,739300,748900,760600,775400,788600,799000,806200,813800,821700,828200,831700,834500,837900,836200,831400,828100,827600,827100,828100,826200,822700,818900,818800,820100,828700,837900,842300,846100,852300,855200,859700,868800,878800,890500,899100,902500,892900,879000,871700,865300,857600,853000,848800,838800,822200,799500,775700,754400,745400,748000,746500,738200,730100,725400,720100,715100,710800,705600,702700,704400,704900,701300,699500,703300,707600,707100,704200,703000,700800,699800,702300,707000,708000,703200,699400,696600,688900,677900,671800,668200,666500,665800,666700,664600,661900,662000,658800,648600,642800,647500,655800,662900,668000,673800,681000,691200,703000,712400,722900,738400,754000,764200,778000,797200,817900,835000,844400,846600,854000,868200,876900,881500,888300,890000,873900,859500,863200,879000,893600,905200,908900,911000,917200,925400,932700,946500,961600
"Central Richmond",327700,331300,336400,340400,343800,344600,339800,334500,335100,339800,345100,349900,353000,354400,356100,358600,362100,367900,375000,382100,389400,396400,402600,408200,414200,423000,431800,437700,441000,444000,448800,454900,459900,462700,465400,470900,478900,483000,484900,490600,499100,508400,520000,534400,550900,567400,582800,597500,611400,620600,632600,649600,662800,663600,659500,657900,661500,662500,661000,662000,663300,662400,656100,642200,628600,627900,631600,630200,626100,627300,630000,629900,634100,646900,662100,672800,684700,696200,703700,709400,713700,714300,713400,711000,703700,695900,695500,702900,711000,716600,723500,733900,746000,757200,767900,784100,806000,825500,835300,841400,850700,864300,881200,895800,906100,924100,952100,975400,983700,981200,977800,982200,987700,991100,995700,1000400,996400,982600,965100,945500,933200,937900,950300,955600,953800,946000,937200,934800,936200,940300,948700,963500,976600,987600,998500,1009400,1020800,1034000,1036400,1030700,1029900,1028400,1021800,1014700,1007600,996300,982800,971700,961200,946200,935600,925500,913100,903100,898800,894600,889200,874400,856900,844800,838700,836000,835800,838700,844200,851300,856300,857000,856400,860900,866000,864600,857500,854500,857900,861600,863100,862900,855200,847200,845800,843400,834700,825700,823400,827400,832800,840200,852900,865200,875100,880600,883700,887600,895200,910500,929800,943200,949900,952200,948000,944800,946500,954800,967700,990000,1022900,1054700,1074200,1085900,1091600,1094900,1104800,1120900,1140600,1165100,1193700,1222100,1245900,1260600,1272600,1287100,1306000,1328100,1345900,1355800,1368000,1386000,1400900
"Downtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,789000,807300,824900,826500,813900,805200,805700,811200,819900,827500,828300,821800,832900,859100,875200,883200,920900,963400,977200,969500,964100,964300,968200,968300,953400,928000,918500,921800,914100,887600,855700,836100,827700,820200,815200,819200,820400,812500,800600,804600,816600,826800,845700,871200,880100,862700,837900,822000,816800,823500,835000,838100,835900,846900,869800,894000,910300,917200,924100,940000,957300,966100,980600,998500,1007200,1010800,1020000,1025800,1029100,1044200,1061700,1076800,1093200,1110800,1121200,1123800,1125300,1125500,1125800,1139500,1158000,1154200,1146400,1158100,1173900,1177100,1165800,1150600,1149800,1165700,1175300,1174400,1178600,1207200,1221500,1183700,1135100,1110800,1103800,1107700,1092800,1051400,1014700,990800,980400,988300,1014100,1046300,1072700,1085600,1093700,1101600,1112100,1121000,1110400,1064700,1005800,959500,929100,906300,889200,882200,878700,869200,863800,868000,867500,865600,875600,889900,890000,877600,869200,869400,874300,878900,892800,915100,935200,941900,948400,961800,981000,1000400,1015500,1022700,1021700,1014700,1005900,996600,998100,1031300,1073600,1086100,1089600,1116500,1137700,1145100,1152900,1166400,1175300,1191000,1210900,1223200,1223300,1230100,1243900,1247600,1261000,1274100,1287100,1314400,1335600,1338900,1359300,1417800,1478600
"South of Market",262000,260600,259000,258900,260900,262500,262300,263800,268400,274200,278200,281600,287300,292800,295400,297900,300600,303900,308000,312700,318000,325600,334300,343300,349500,353900,359700,365500,370000,373900,376300,378800,383200,387000,389800,393900,399700,407100,416800,428000,438300,450600,468200,484200,497400,513100,528200,538900,553900,575200,595100,599400,595900,599900,615700,628800,638500,642200,644200,648100,646200,636300,628700,629400,634800,635600,623700,607000,589400,574800,564700,555900,548600,549500,557100,569100,577500,576400,566700,559700,555400,550300,545000,542500,542100,542700,543200,544400,549600,556300,565800,579700,591600,598800,606900,617800,629100,637600,642400,644300,646800,652600,662900,673900,691500,717700,745600,769100,781600,780700,776200,778000,782100,786900,794000,803000,807900,806400,801200,796100,796800,802800,807900,807200,806600,807100,806400,799800,794400,795600,800600,804100,810800,822600,833100,841000,846600,850900,850900,848400,845200,845600,845200,840400,835200,831600,827400,818900,807200,797700,794600,792700,784500,769000,754400,745100,737200,727500,717000,710900,708100,703900,698900,698800,701500,704900,707800,709400,706500,704200,704700,705200,704500,705200,705700,705600,706200,706100,702900,698500,696500,693100,687400,684300,685400,686600,687500,691200,699200,707900,717200,727100,738300,753400,773500,794300,811900,825300,836500,848600,859700,868500,877400,887500,897800,910900,932300,955100,973200,990400,1006000,1013200,1021100,1033700,1040900,1048000,1065300,1083100,1091400,1094900,1103800,1115900,1126100,1135700,1143800,1149800,1163400,1186200,1205800
"Central Sunset",272500,273600,274500,276000,277300,278000,279800,283100,285000,286500,289300,292200,294500,296700,298800,301500,305400,309000,311600,314400,319000,324600,329500,333500,337300,340900,344300,348400,353400,358200,362800,366200,368500,370600,371600,370500,371400,375600,380600,384600,388600,393200,399300,407300,417000,427700,438200,450000,462500,473900,480300,482600,482700,485900,491000,496700,501800,503600,502400,501900,498700,495600,498300,504900,511900,517600,518700,516200,515900,519700,523400,525200,531000,543500,556100,564200,570600,578000,583500,588200,591700,593500,595400,597400,598400,599100,602600,609400,617200,623400,630800,640800,652100,662300,673100,688300,703000,709800,710200,711800,714800,719200,729100,741400,752500,767600,788400,805200,812400,813300,815800,821900,827000,829300,829100,823000,814000,806000,796300,785700,781800,784600,786700,785300,785200,784600,781100,778800,782100,788000,795900,805700,816100,826900,837500,845100,847800,850000,851200,849800,843200,836000,829900,823500,815300,806600,794000,781400,772500,765800,761800,762500,762600,757300,750900,746300,742700,738400,735500,735600,737000,737200,738600,741400,744300,747500,750800,750700,747700,746100,745900,743400,739100,736100,733300,730500,729400,728100,721800,711600,703800,700400,698700,698900,699700,699100,698300,699500,700500,700200,700800,703600,709600,717200,725600,734700,744400,756700,772800,789400,803500,814000,822800,834400,849400,863000,877700,892900,908300,919800,922500,918600,918700,925500,935000,944300,953400,962800,972300,978300,982900,988100,993400,996900,1001700,1009200,1019900,1037900,1056600
"Parkside",264100,267200,270200,272700,274600,276100,277400,279500,281800,284200,287200,290500,293200,295700,298600,301500,303700,305300,307100,309400,313700,319900,325700,330400,334200,336900,338400,340700,344100,347200,349400,351600,353600,355000,356200,357800,361000,366300,371900,376600,380100,384200,389900,397800,407000,417400,427700,435900,440400,442300,445500,451400,458100,465100,472800,479100,482000,482100,481400,480900,480500,481900,485100,488800,492900,499200,504700,506400,504900,503000,503000,506300,514200,525600,537300,545000,550600,554800,556800,558800,563000,566800,569600,571600,573300,575800,579600,586200,595300,601800,607600,617200,631300,647100,663400,678800,691500,697500,698500,700400,703200,707700,715400,724500,733400,744900,758500,771100,779700,785500,790900,797300,803500,811100,817700,819500,817300,813400,807700,801900,798800,797600,796700,794200,792100,789200,785500,783200,784100,786700,790600,797600,808700,823000,836200,846600,851400,853100,853400,852500,846900,840800,835800,830100,821700,811700,797600,781900,769600,760600,753000,747900,743300,737400,731800,727300,722400,717700,716300,718700,720500,719600,718700,720600,724700,729400,733200,733200,731500,731200,731900,729000,726100,726700,729300,728900,727600,725700,719800,711100,705200,701000,696300,693400,693300,691400,687700,685600,686300,686800,688000,690200,695700,704100,714600,725800,736300,747500,761000,773700,782500,790900,800100,809800,816400,821400,831900,846300,856700,864400,872800,879100,884200,890200,896900,901300,909100,921900,932300,936300,942600,950600,955800,960100,965200,972000,983800,1006100,1028600
"Pacific Heights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524400,534800,540800,543900,550300,565500,582800,595400,604800,609800,613800,621600,626700,628900,631900,640400,652400,662900,667800,670400,679300,692200,701000,709700,721600,721300,718900,726200,738000,754200,777500,800800,822600,848700,871700,897800,937000,980000,1014500,1046000,1079800,1116600,1155800,1176300,1178900,1184100,1202600,1213800,1218000,1233600,1250400,1254600,1260400,1275200,1306100,1352800,1394500,1430100,1470100,1505100,1518200,1509800,1478300,1450500,1439700,1436700,1428500,1434300,1449400,1460500,1458400,1447500,1426500,1414200,1439200,1491200,1522400,1505200,1462600,1423400,1400700,1380200,1366800,1377000,1399800,1422700,1438900,1432400,1402700,1371500,1343200,1327800,1323200,1317900,1308200,1296900,1295700,1301500,1309800,1324400,1344700,1371300,1395900,1399000,1392500,1397800,1405200,1411800,1415400,1418500,1428800,1437600,1433400,1428000,1438400,1453100,1453500,1446800,1450600,1451600,1446200,1454500,1463600,1463300,1476000,1506000,1532200,1550300,1562500,1561300,1550800,1547400,1551100,1538600,1514300,1496600,1483900,1465000,1445300,1430300,1430800,1444300,1450800,1439600,1427700,1411900,1391100,1372500,1365300,1361100,1354700,1352400,1355300,1357500,1360000,1368600,1373500,1371100,1361900,1351200,1339000,1329100,1321600,1313200,1301300,1289200,1282200,1273600,1259400,1249100,1250800,1256400,1264700,1275600,1284500,1287700,1286400,1286400,1292100,1303100,1311000,1312600,1318000,1336700,1359900,1384000,1418600,1460100,1491300,1513300,1532000,1554200,1575600,1594400,1603200,1618100,1638900,1660400,1671800,1676400,1681800,1692300,1704600,1718700,1740700,1766800,1808200,1847500,1868100,1871900,1871300,1869100,1881100,1905800,1921000,1925700,1949600,2006300,2060800
"Nob Hill",388300,389100,384900,385900,392800,398600,401300,403000,403700,409600,416900,418800,417300,421000,425400,433000,441400,447800,450800,456900,465700,476800,488600,494300,490800,491100,499600,505600,507800,514100,523100,529000,533900,540000,545000,546800,551600,560100,570600,580400,589700,599500,614600,635100,661000,679800,691200,707300,733600,760400,779400,796400,813200,823800,825400,823200,811200,799500,801200,811700,817500,816000,813000,808900,805100,802600,797700,790000,786200,785600,779800,778500,783400,788900,796300,811600,827900,843200,857100,863600,864500,866500,873100,871100,865800,862000,860300,848700,841600,836500,834200,842800,865200,882400,890200,892900,889900,880800,873700,877600,884500,896300,913400,926400,933200,948100,966900,995100,1022800,1044100,1055000,1069000,1077200,1073500,1066800,1068000,1071600,1073300,1066400,1048600,1038200,1042800,1051900,1050700,1040500,1035300,1040000,1043300,1040600,1036700,1042100,1056100,1072500,1085200,1090600,1093300,1096900,1100800,1099900,1094300,1088000,1102800,1130100,1139900,1143300,1161300,1179500,1177100,1167700,1160500,1157600,1159800,1150900,1118100,1078600,1051200,1023300,995700,974900,971900,983000,990100,985400,979700,982200,979000,972500,966000,960700,952700,949900,941900,937400,939100,937000,929700,928100,924600,918200,914800,912800,908300,908200,913800,915700,916600,922600,928100,933700,944900,961500,979600,996400,1006800,1015100,1027100,1041100,1059700,1082400,1101800,1115400,1128800,1141100,1161400,1186000,1206000,1221300,1235400,1244100,1247500,1243900,1240600,1247100,1264100,1279100,1284100,1290700,1306700,1322800,1337200,1344800,1346200,1356100,1375500,1394300,1415000,1436400,1459100,1479900
"Inner Richmond",354900,357700,360100,362700,361800,360100,357300,354500,355800,361700,370700,377700,383300,388200,393500,395300,399000,404900,413000,417900,425500,435000,441700,443300,447900,457700,471300,484600,491000,486300,478300,483700,498100,513700,521700,528800,534700,541900,548000,557800,570000,594800,629400,663000,688300,709100,724000,737800,751500,762300,765900,772100,784800,795500,799900,796200,781000,759800,756200,768300,780300,779100,778600,776300,771300,764800,760600,756200,750800,748900,750300,742200,733300,742800,760000,768100,775900,784600,785200,780600,782300,787000,788000,789900,791200,787000,786300,795100,807100,817200,826300,838300,855500,873400,890200,909700,928000,944600,958000,971500,980600,989200,1002200,1025800,1053100,1076400,1098700,1127000,1155000,1163400,1152900,1143600,1146800,1159600,1171600,1174800,1168600,1158400,1144500,1126400,1107400,1094500,1091900,1092600,1085500,1065100,1046000,1032800,1016200,1005100,1007800,1019300,1036300,1063400,1089500,1108300,1121500,1139000,1153100,1161600,1170800,1181800,1176500,1155000,1135400,1120400,1109700,1105200,1105700,1101000,1100200,1098200,1096800,1091800,1089700,1085700,1082500,1073300,1062300,1040400,1014100,997400,992800,990500,989400,996200,1001900,997900,988800,980200,969300,967100,973500,979500,979400,977900,974800,971300,968900,971100,976100,987100,998800,1009100,1020500,1030400,1035700,1040700,1046000,1049400,1052300,1057800,1065900,1080700,1102200,1118600,1124400,1137900,1161900,1194800,1229000,1250100,1259300,1275200,1300100,1323000,1345100,1367800,1396400,1415000,1415100,1401900,1398100,1404000,1423400,1449000,1474300,1497700,1518200,1528200,1538100,1548100,1556000,1569700,1579500,1584600,1611400,1660000,1700900
"Noe Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377300,376000,372800,375600,382800,391900,399600,408300,418600,427600,434400,444000,453300,459000,463300,468000,472300,476600,479000,480400,485100,491400,494200,497600,502100,503900,505800,513800,527800,545400,562400,578000,593000,612300,636600,664400,693600,721300,743300,763100,779400,794900,809300,818700,822800,824700,822900,819100,817600,819300,815100,801900,788800,778100,769900,768500,764400,749000,735000,733300,735900,733000,733300,746400,766200,785100,806000,821600,830000,841300,854900,860500,856100,847300,839900,835400,831700,828200,827300,831400,841400,855400,871700,889900,908900,935000,965300,986000,988300,984600,985100,994900,1013300,1030800,1043300,1058200,1082300,1108200,1121900,1126000,1136600,1155700,1165200,1162600,1156000,1150800,1142300,1135100,1128300,1120500,1118700,1123500,1128300,1129500,1129900,1130200,1134300,1141000,1151600,1161400,1170400,1178300,1186000,1192500,1197200,1202000,1211000,1216700,1211100,1200200,1190600,1179000,1162400,1145300,1133900,1126600,1119100,1112200,1109300,1109300,1110900,1113800,1109800,1099100,1087400,1075900,1061900,1051600,1045100,1034100,1016700,999200,987200,982000,983300,987200,992200,993000,992700,997000,1002000,1002700,1001600,1002000,1002700,1004900,1012200,1020300,1021800,1020600,1021900,1022100,1021000,1022700,1030600,1039500,1047300,1052400,1052500,1047600,1051600,1067200,1084900,1099400,1119500,1147500,1178500,1211300,1242800,1265800,1282300,1303400,1326100,1344700,1360000,1380200,1410200,1437600,1450800,1462900,1473700,1477100,1483600,1500000,1509700,1514300,1529800,1547400,1551900,1552000,1560000,1563300,1569700,1583100,1592800,1602600,1631200,1670400,1701300
"Outer Sunset",262200,261900,262000,261800,260700,259700,259800,261200,262200,264100,265000,265200,267100,272800,278200,283600,288600,293500,297700,301400,304200,306900,309800,312700,315400,317500,318600,319400,321000,322900,324100,324400,325500,328000,331400,333500,334700,336700,340400,345900,352300,358600,365200,373900,384000,394400,403300,412800,422700,430500,437200,445700,452700,457500,461700,464400,466600,467000,466800,466700,464600,462900,465900,469100,470900,472700,472700,471000,469700,469700,470600,471700,477200,487000,495300,502000,510500,517400,522300,530700,540900,546200,548300,551200,554700,556500,558000,559900,566200,576300,586700,595700,606500,618200,631900,646500,660100,668900,672000,673300,676500,681600,689400,698900,707800,720300,736800,753300,762600,767300,773900,782200,782800,782000,784500,783000,775900,769500,763800,757300,753000,752200,751400,748600,747300,746000,742900,740600,743300,750500,758500,766300,776200,788800,801100,810700,813800,813500,812200,808500,799400,790500,783100,774400,761900,746300,731800,722300,717000,711100,707800,710400,712900,708400,700300,692900,688300,687600,691000,696800,701700,704300,706800,709800,713300,718400,723400,724000,721200,718700,715600,708000,702100,700900,701200,700000,700300,701700,699700,695000,692100,689900,685500,681800,679100,675700,670500,665000,659500,653400,649100,648700,653400,661000,670000,679100,690000,702200,715800,729600,742500,752100,760700,772500,787400,801400,811500,820700,833400,848500,854300,852900,854700,862000,871400,882400,893000,904900,919900,930500,934500,935600,939500,946000,952700,960300,971000,988900,1007300
"Portola",253400,255300,257400,259500,260400,260500,261500,263100,263300,263700,265100,265700,264800,263800,265000,267700,269800,271200,273200,275700,278800,282500,286300,292000,299100,306000,311700,317600,322500,325100,324300,324000,326900,330900,334700,336300,335200,335500,337600,339800,343600,351000,361100,372200,383000,394300,405600,416700,426600,434500,440200,442900,441900,440000,440400,443200,444200,440500,437000,437200,439600,440700,442000,445200,452800,462400,470200,472700,476600,481500,483900,483100,485600,491400,500400,510200,521000,530100,534500,537500,540400,543400,546200,548800,550000,553900,558900,564900,571900,576500,580900,591300,607900,623400,637800,652500,664500,670000,673100,676900,680200,685600,693600,700600,702700,708700,720300,735900,751400,764500,771500,776700,778800,780200,781900,780500,777200,773700,769200,765100,764700,765200,765800,766400,769300,773900,780000,783100,784500,788700,796000,801100,803800,806800,812900,822100,829400,830800,827000,821500,817300,816500,815000,810200,803800,796200,783800,763300,738900,720600,713900,713500,708000,694100,680200,669900,661600,655900,651900,649800,650100,651600,652200,652800,653500,656800,660100,659900,657300,656300,655400,652700,654500,658900,656400,651000,653300,655800,650300,643400,641000,640400,640900,642400,643800,643100,638600,632600,627100,621000,617900,619400,623000,629000,637800,647200,656500,665400,673100,681900,694300,707800,720500,734300,753500,774100,793200,808700,820000,825600,835800,848200,853400,856000,865000,867400,860800,854300,852400,855400,856900,854900,859700,872500,881600,888600,898500,915700,933400
"Outer Richmond",309900,307700,308600,308800,307100,305800,306300,307700,309800,312200,313900,316300,320100,323100,325000,327400,330300,333200,336100,339700,343200,345200,346200,348300,351600,355600,361900,370300,377900,383100,385600,386900,390100,394500,399900,406400,414300,418200,417200,415100,416800,421800,430800,441500,452200,465700,483200,501100,516300,529900,542200,553600,563200,569800,574400,580400,586600,587300,585200,583600,582700,582300,583400,582200,579700,581800,583400,581200,579800,582600,583200,581300,579600,580000,581800,586400,593100,599000,603800,610000,616300,619900,621700,625200,632300,642800,657100,671700,683600,689300,694900,701900,707800,710800,717200,729100,741800,747400,750200,758900,774100,789600,801100,809800,818500,832500,849200,862300,867900,870900,869700,865200,858500,857400,859200,858500,853700,847600,840200,833500,835000,848900,863700,866000,862300,857900,853600,853500,854500,854800,855500,859100,863800,871200,880300,890300,896500,898200,902600,908300,908000,898400,887300,873800,859300,841800,824700,812600,805600,800000,795300,789700,793200,809300,828500,838500,837400,823700,809600,802300,800100,797800,794700,791700,789500,789200,788600,786900,782100,775100,767200,759800,753600,750500,750100,751000,751500,749100,741500,733700,729300,730300,733300,737300,740600,743400,745300,748800,751300,749900,748300,748900,753200,760600,769200,776800,786100,794500,800700,805700,811400,817900,824900,837700,861200,890700,918400,941900,961500,978600,988600,993000,996800,1007700,1027300,1049100,1065000,1082400,1103100,1116000,1122800,1132200,1147200,1163400,1175900,1181300,1186100,1203300,1223900
"Inner Sunset",286700,289400,294500,297700,299600,302100,306800,312100,316600,321700,327400,331700,334600,337000,337800,337700,339200,342400,344500,345600,347800,352300,356500,359200,360200,363600,369400,376900,384000,390600,396200,401800,408200,415700,421000,425000,431100,436300,440400,446000,451000,457500,466300,475200,485400,499100,512400,523700,535500,550300,564800,578100,589200,592000,590600,591000,591400,587500,582000,579400,579900,577700,573200,570200,571000,575600,581200,587100,590900,592600,597200,602300,604900,609600,617900,628000,640500,650800,654000,653600,654900,656600,654700,652600,652900,652600,654200,658000,660600,662200,668100,678300,689800,703700,720700,739400,755600,772900,790800,804900,812600,822800,837100,850800,863800,879200,894600,908200,920400,927400,929200,932700,936900,939300,944400,946900,940100,928500,919700,912200,904600,894900,880300,861900,851600,847400,841400,832200,826000,824300,830500,840500,852800,867400,881200,891800,897500,899500,898200,899700,904900,910000,906200,895600,886600,878500,867900,858400,852500,847400,842700,839900,836200,829700,821900,814800,806400,803500,808300,817100,822800,825700,828700,835100,842200,848700,856000,861200,861500,857700,852500,845600,840200,837700,835100,831100,828600,825800,820400,813600,808800,806600,805800,806300,808300,808800,807500,806300,806800,808800,810800,814000,821700,831000,839700,850200,864000,881500,903300,925100,944100,960900,976200,985700,994600,1006900,1027100,1045700,1057700,1063500,1065600,1059900,1056900,1062000,1067700,1077200,1094200,1113100,1130500,1143100,1147900,1151100,1159500,1171500,1182200,1191100,1208000,1238100,1266900
